id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane
1,car,0,79,37.6105081237937,0.3,1546293601.0,12,1,1546293768.0,1,,,0.0,1
2,car,0,77,44.65628991427984,0.1,1546293601.0,12,1,1546293768.0,1,,,0.0,1
3,car,1,77,56.978137265347925,0.8,1546293601.0,12,1,1546293768.0,1,,,0.0,1
4,car,0,80,40.57923027928334,0.0,1546293601.0,12,1,1546293768.0,1,,,0.0,1
5,car,1,78,41.49661128260614,0.8,1546293601.0,12,1,1546293768.0,1,,,0.0,1
6,car,0,71,43.255017917861444,0.5,1546293601.0,12,1,1546293768.0,1,,,0.0,1
7,bus,0,51,60.95607550004196,0.3,1546293601.0,12,1,1546293768.0,1,,,0.0,1
8,car,1,72,41.534769416120284,0.9,1546293601.0,1,12,1546293756.0,1,,,0.0,1
9,car,1,76,35.770713635488065,0.8,1546293601.0,1,12,1546293756.0,1,,,0.0,1
10,car,0,77,51.53974496431872,0.5,1546293601.0,1,12,1546293756.0,1,,,0.0,1
11,car,1,74,61.84805330031529,0.7,1546293601.0,1,12,1546293756.0,1,,,0.0,1
12,car,0,77,37.466324447338934,0.3,1546293601.0,1,12,1546293756.0,1,,,0.0,1
13,car,1,79,55.49261137479748,0.6,1546293601.0,1,12,1546293756.0,1,,,0.0,1
14,bus,0,58,56.94769107668493,0.1,1546293601.0,1,12,1546293756.0,1,,,0.0,1
15,car,0,72,43.9974985114986,0.2,1546293601.0,12,2,1546293946.0,1,,,0.0,0
16,car,1,78,48.60674743463276,0.7,1546293601.0,12,2,1546293946.0,1,,,0.0,0
17,car,1,75,50.321322215786346,0.9,1546293601.0,12,2,1546293946.0,1,,,0.0,0
18,car,0,77,49.29844858621907,0.5,1546293601.0,12,2,1546293946.0,1,,,0.0,0
19,bus,1,58,40.321117333277435,1.0,1546293601.0,12,2,1546293946.0,1,,,0.0,0
20,bus,0,45,63.50668226430858,0.3,1546293601.0,12,2,1546293946.0,1,,,0.0,0
21,car,0,73,32.29120595507134,0.0,1546293601.0,2,12,1546293920.0,1,,,0.0,0
22,car,1,77,43.024029346886906,1.0,1546293601.0,2,12,1546293920.0,1,,,0.0,0
23,car,0,80,47.09440747387831,0.4,1546293601.0,2,12,1546293920.0,1,,,0.0,0
24,car,0,71,63.221668589312266,0.3,1546293601.0,2,12,1546293920.0,1,,,0.0,0
25,bus,1,58,39.82742012093551,1.0,1546293601.0,2,12,1546293920.0,1,,,0.0,0
26,bus,0,44,61.0297649153192,0.0,1546293601.0,2,12,1546293920.0,1,,,0.0,0
27,car,0,77,45.350697044588436,0.1,1546293601.0,12,4,1546293754.0,1,,,0.0,1
28,car,1,75,41.66845898255157,0.9,1546293601.0,12,4,1546293754.0,1,,,0.0,1
29,car,0,77,34.63493390027255,0.5,1546293601.0,12,4,1546293754.0,1,,,0.0,1
30,car,0,74,59.6509973093112,0.4,1546293601.0,12,4,1546293754.0,1,,,0.0,1
31,bus,0,56,37.97822247977935,0.0,1546293601.0,12,4,1546293754.0,1,,,0.0,1
32,bus,1,48,49.952157617285124,0.8,1546293601.0,12,4,1546293754.0,1,,,0.0,1
33,car,0,72,49.21505532222018,0.1,1546293601.0,4,12,1546293754.0,1,,,0.0,1
34,car,1,77,56.29113711904119,0.8,1546293601.0,4,12,1546293754.0,1,,,0.0,1
35,car,0,76,40.796000756231045,0.0,1546293601.0,4,12,1546293754.0,1,,,0.0,1
36,car,0,78,57.15246617324108,0.2,1546293601.0,4,12,1546293754.0,1,,,0.0,1
37,bus,0,50,51.58543186565505,0.0,1546293601.0,4,12,1546293754.0,1,,,0.0,1
38,bus,1,48,53.14935967396781,0.9,1546293601.0,4,12,1546293754.0,1,,,0.0,1
39,car,0,79,37.78398344921917,0.3,1546293601.0,12,5,1546293840.0,1,,,0.0,0
40,car,0,77,62.13142712080113,0.5,1546293601.0,12,5,1546293840.0,1,,,0.0,0
41,car,1,78,53.79342687112805,1.0,1546293601.0,12,5,1546293840.0,1,,,0.0,0
42,car,1,77,51.99996441170821,0.6,1546293601.0,12,5,1546293840.0,1,,,0.0,0
43,car,1,72,55.389434019143195,0.9,1546293601.0,12,5,1546293840.0,1,,,0.0,0
44,car,0,76,26.31583727135022,0.3,1546293601.0,12,5,1546293840.0,1,,,0.0,0
45,car,1,78,54.49444740155119,1.0,1546293601.0,12,5,1546293840.0,1,,,0.0,0
46,car,1,76,73.46852319467231,0.7,1546293601.0,12,5,1546293840.0,1,,,0.0,0
47,bus,1,57,35.60924174014987,0.6,1546293601.0,12,5,1546293840.0,1,,,0.0,0
48,bus,0,53,55.122949460766364,0.0,1546293601.0,12,5,1546293840.0,1,,,0.0,0
49,car,0,77,66.45920698978061,0.0,1546293601.0,5,12,1546293821.0,1,,,0.0,0
50,car,0,75,49.772014966298634,0.1,1546293601.0,5,12,1546293821.0,1,,,0.0,0
51,car,1,71,48.446115729076695,0.9,1546293601.0,5,12,1546293821.0,1,,,0.0,0
52,car,1,72,53.63142820874514,0.9,1546293601.0,5,12,1546293821.0,1,,,0.0,0
53,car,1,78,46.62417002882462,0.8,1546293601.0,5,12,1546293821.0,1,,,0.0,0
54,car,1,74,66.015768534286,0.9,1546293601.0,5,12,1546293821.0,1,,,0.0,0
55,car,0,75,56.82182854161971,0.5,1546293601.0,5,12,1546293821.0,1,,,0.0,0
56,car,1,73,45.581840094315965,1.0,1546293601.0,5,12,1546293821.0,1,,,0.0,0
57,bus,0,41,57.805124084895944,0.5,1546293601.0,5,12,1546293821.0,1,,,0.0,0
58,bus,1,58,38.38228998972417,0.6,1546293601.0,5,12,1546293821.0,1,,,0.0,0
