id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane
1,car,1,70,43.95265518154814,0.9,1546293746.0,12,1,1546293986.0,0,,,0.0,0
10,car,0,76,51.11591286088883,0.4,1546293757.0,12,1,1546293994.0,0,,,0.0,0
100,car,0,76,57.05084446811384,0.3,1546293764.0,4,12,1546294154.0,0,,,0.0,0
1000,car,0,80,32.33298436619995,0.3,1546293692.0,18,20,1546293975.0,0,,,0.0,0
1001,car,0,79,59.494091260262394,0.5,1546293615.0,18,20,1546293892.0,0,,,0.0,0
1002,car,1,77,73.36814675966585,1.0,1546293732.0,18,20,1546294018.0,0,,,0.0,0
1003,car,1,80,51.71692593957151,0.8,1546293733.0,18,20,1546294019.0,0,,,0.0,0
1004,car,1,78,65.32430336407037,0.9,1546293715.0,18,20,1546293999.0,0,,,0.0,0
1005,car,1,75,57.68059781265209,0.9,1546293696.0,18,20,1546293979.0,0,,,0.0,0
1006,bus,1,47,54.98262013357073,0.6,1546293644.0,18,20,1546293923.0,0,,,0.0,0
1007,bus,0,53,37.30447557765881,0.2,1546293734.0,18,20,1546294020.0,0,,,0.0,0
1008,bus,1,41,41.70233823679836,1.0,1546293614.0,18,20,1546293891.0,0,,,0.0,0
1009,car,1,70,59.78450843039226,0.6,1546293902.0,12,1,1546294177.0,0,,,0.0,0
101,car,0,71,48.88976414302545,0.0,1546293808.0,4,12,1546294282.0,0,,,0.0,0
1010,car,0,73,46.49995386019956,0.1,1546294068.0,12,1,1546295253.0,0,,,0.0,0
1011,car,0,80,39.77756011012801,0.4,1546293905.0,12,1,1546294181.0,0,,,0.0,0
1012,car,1,77,57.42397258570358,0.9,1546294029.0,12,1,1546294891.0,0,,,0.0,0
1013,car,0,74,40.204037684614235,0.3,1546293998.0,12,1,1546294540.0,0,,,0.0,0
1014,car,1,77,34.9094914715678,0.6,1546293950.0,12,1,1546294362.0,0,,,0.0,0
1015,car,0,70,48.15218575197033,0.5,1546293943.0,12,1,1546294327.0,0,,,0.0,0
1016,car,1,80,56.20073778741393,1.0,1546294007.0,12,1,1546294646.0,0,,,0.0,0
1017,car,1,77,50.217128267839264,0.8,1546294031.0,12,1,1546294875.0,0,,,0.0,0
1018,bus,0,48,35.117602744860676,0.4,1546293986.0,12,1,1546294482.0,0,,,0.0,0
