id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane
1,car,0,79,57.08399393995133,0.3,1546293601.0,12,1,1546293737.0,1,,,0.0,1
10,car,0,77,63.66274380251111,0.5,1546293681.0,1,12,1546293822.0,1,,,0.0,1
100,car,1,71,42.19855055076582,0.7,1546293691.0,2,13,1546294203.0,1,,,0.0,0
1000,car,0,77,31.873566971741603,0.3,1546294371.0,20,4,1546294762.0,1,,,0.0,0
1001,car,1,75,58.51696373197717,1.0,1546294405.0,20,4,1546294782.0,1,,,0.0,0
1002,bus,0,43,35.16161113446265,0.1,1546294201.0,20,4,1546294669.0,1,,,0.0,0
1003,car,0,77,32.48150112129646,0.3,1546294201.0,4,20,1546294620.0,1,,,0.0,0
1004,car,1,70,44.43893335582386,0.7,1546294235.0,4,20,1546294593.0,1,,,0.0,0
1005,car,1,73,51.10549100966316,0.7,1546294269.0,4,20,1546294620.0,1,,,0.0,0
1006,car,0,72,42.065060049837946,0.1,1546294303.0,4,20,1546294655.0,1,,,0.0,0
1007,car,0,70,34.902267637605505,0.4,1546294337.0,4,20,1546294691.0,1,,,0.0,0
1008,car,0,77,51.69253885065166,0.2,1546294371.0,4,20,1546294726.0,1,,,0.0,0
1009,car,0,78,61.72593925446833,0.2,1546294405.0,4,20,1546294759.0,1,,,0.0,0
101,car,1,70,53.8432113621725,0.6,1546293721.0,2,13,1546294232.0,1,,,0.0,0
1010,bus,1,55,52.82028526297738,1.0,1546294201.0,4,20,1546294620.0,1,,,0.0,0
1011,car,1,79,32.143715742259026,0.8,1546294201.0,20,5,1546294618.0,1,,,0.0,0
1012,car,1,79,63.758180686800785,0.6,1546294261.0,20,5,1546294615.0,1,,,0.0,0
1013,car,1,73,54.60436346582892,0.9,1546294321.0,20,5,1546294696.0,1,,,0.0,0
1014,car,0,76,59.20092898758412,0.4,1546294381.0,20,5,1546294708.0,1,,,0.0,0
1015,bus,0,60,49.408227144248386,0.3,1546294201.0,20,5,1546294618.0,1,,,0.0,0
1016,bus,1,44,52.705465757488426,0.8,1546294321.0,20,5,1546294696.0,1,,,0.0,0
