id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane,TravelTime,TravelCost
1,car,0,79,47.52052826,0.3,1546293601,12,1,1546293791,0,,,0,0,190,2.50802788
105,bus,1,54,53.06633971,1,1546293601,2,13,1546294108,1,,,0,0,507,7.473509509
107,car,1,75,46.02009264,0.9,1546293601,13,4,1546294087,0,,,0,0,486,6.212712507
110,bus,0,45,60.75624873,0.4,1546293601,13,4,1546293912,1,,,0,0,311,5.24866482
111,car,1,76,50.64495678,1,1546293601,4,13,1546293911,1,,,0,0,310,4.361093501
114,bus,0,47,53.15314582,0.4,1546293601,4,13,1546293911,1,,,0,0,310,4.577076446
115,car,0,72,45.40053172,0.5,1546293601,13,5,1546294160,0,,,0,0,559,7.049693675
121,bus,1,54,61.12287629,0.6,1546293601,13,5,1546293968,1,,,0,0,367,6.231137666
122,car,0,72,50.55906677,0.4,1546293601,5,13,1546293946,1,,,0,0,345,4.845243898
128,bus,1,56,37.97326802,1,1546293601,5,13,1546294183,0,,,0,0,582,6.139011663
129,car,1,73,46.31738791,0.6,1546293601,13,18,1546294271,0,,,0,0,670,8.620180527
135,bus,0,42,36.82617557,0.4,1546293601,13,18,1546294178,0,,,0,0,577,5.902417585
136,car,0,78,42.15242464,0,1546293601,18,13,1546294238,0,,,0,0,637,7.45863736
14,bus,0,58,55.91877513,0.1,1546293601,1,12,1546293836,0,,,0,0,235,3.650253377
142,bus,0,49,49.50514521,0.1,1546293601,18,13,1546294239,0,,,0,0,638,8.773411845
143,car,1,73,53.07725636,1,1546293601,24,1,1546293956,1,,,0,0,355,5.234007225
148,bus,0,52,45.80378363,0,1546293601,24,1,1546294216,0,,,0,0,615,7.824813037
149,car,1,80,46.50049894,0.7,1546293601,1,24,1546294206,0,,,0,0,605,7.814667182
15,car,0,72,47.98183993,0.2,1546293601,12,2,1546294041,0,,,0,0,440,5.864447102
154,bus,1,52,53.64257162,0.9,1546293601,1,24,1546294206,0,,,0,0,605,9.014932175
155,car,0,75,55.7839745,0.1,1546293601,24,2,1546294052,1,,,0,0,451,6.988492361
158,bus,1,44,63.92029959,0.6,1546293601,24,2,1546294052,1,,,0,0,451,8.007793087
160,car,0,71,37.69654273,0.2,1546293601,2,24,1546294282,0,,,0,0,681,7.130929332
163,bus,0,53,50.56838969,0.5,1546293601,2,24,1546294063,1,,,0,0,462,6.48961001
165,car,0,70,64.9094208,0.4,1546293601,24,4,1546293861,1,,,0,0,260,4.687902613
172,bus,0,52,40.5593478,0.3,1546293601,24,4,1546294041,0,,,0,0,440,4.95725362
174,car,1,80,46.09743981,0.7,1546293601,4,24,1546293964,0,,,0,0,363,4.648158514
181,bus,0,44,52.79609403,0.3,1546293601,4,24,1546293885,1,,,0,0,284,4.165025196
183,car,0,78,50.78797724,0.3,1546293601,24,5,1546294143,0,,,0,0,542,7.646412129
186,bus,1,40,45.17196865,0.9,1546293601,24,5,1546294143,0,,,0,0,542,6.800890836
