id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane
1,car,0,79,49.60440923561413,0.3,1546293601.0,12,1,1546293815.0,0,,,0.0,0
10,car,0,77,41.6947589865607,0.5,1546293718.0,12,1,1546293954.0,0,,,0.0,0
100,car,1,71,54.15657466317842,0.7,1546293661.0,4,12,1546293950.0,0,,,0.0,0
1000,car,0,77,44.7218110748948,0.3,1546293781.0,18,20,1546294067.0,0,,,0.0,0
1001,car,1,70,47.777738426451194,0.7,1546293791.0,18,20,1546294078.0,0,,,0.0,0
1002,car,1,73,58.108342867176134,0.7,1546293801.0,18,20,1546294088.0,0,,,0.0,0
1003,car,0,72,50.558554950673255,0.1,1546293811.0,18,20,1546294098.0,0,,,0.0,0
1004,car,0,70,58.972565540640446,0.4,1546293821.0,18,20,1546294108.0,0,,,0.0,0
1005,car,0,77,40.51123376762288,0.2,1546293831.0,18,20,1546294118.0,0,,,0.0,0
1006,bus,0,57,41.91146649363802,0.2,1546293601.0,18,20,1546293877.0,0,,,0.0,0
1007,bus,1,55,31.30551008096368,1.0,1546293681.0,18,20,1546293963.0,0,,,0.0,0
1008,bus,1,58,56.506844966194585,0.8,1546293761.0,18,20,1546294047.0,0,,,0.0,0
1009,car,1,79,53.73261928213684,0.6,1546293901.0,12,1,1546294226.0,0,,,0.0,0
101,car,1,70,64.50786060979249,0.6,1546293681.0,4,12,1546293993.0,0,,,0.0,0
1010,car,1,73,36.45689566830078,0.9,1546293927.0,12,1,1546294311.0,0,,,0.0,0
1011,car,0,76,53.39586640673677,0.4,1546293953.0,12,1,1546294396.0,0,,,0.0,0
1012,car,0,80,38.32719509209,0.3,1546293979.0,12,1,1546294447.0,0,,,0.0,0
1013,car,1,72,50.23444058663642,0.8,1546294005.0,12,1,1546294486.0,0,,,0.0,0
1014,car,1,70,48.415314653113825,0.7,1546294031.0,12,1,1546294534.0,0,,,0.0,0
