id,type,driverType,maxSpeed,valueTime,probLaneChange,startTs,nodeOrigin_id,nodeDest_id,finishTs,laneType,currentLane_id,currentLaneProgress,timeBudget,changeLane
1,car,0,79,48.44256378776916,0.3,1546293600.0,12,1,1546293862.0,0,,,0.0,0
10,car,0,77,47.02801735184071,0.5,1546293609.0,12,1,1546293883.0,0,,,0.0,0
100,car,1,71,38.08005798082096,0.7,1546293699.0,4,12,1546293965.0,0,,,0.0,0
1000,car,0,77,46.34769222673695,0.3,1546294599.0,18,20,1546294892.0,0,,,0.0,0
1001,car,1,70,52.95668795074351,0.7,1546294600.0,18,20,1546294893.0,0,,,0.0,0
1002,car,1,73,61.798583878368014,0.7,1546294601.0,18,20,1546294894.0,0,,,0.0,0
1003,car,0,72,35.749139674743766,0.1,1546294602.0,18,20,1546294895.0,0,,,0.0,0
1004,car,0,70,52.128940451241085,0.4,1546294603.0,18,20,1546294896.0,0,,,0.0,0
1005,car,0,77,71.87490439550889,0.2,1546294604.0,18,20,1546294897.0,0,,,0.0,0
1006,bus,0,57,58.21705330520801,0.2,1546294605.0,18,20,1546294898.0,0,,,0.0,0
1007,bus,1,55,43.09531935825946,1.0,1546294606.0,18,20,1546294899.0,0,,,0.0,0
1008,bus,1,58,45.03391812631466,0.8,1546294607.0,18,20,1546294900.0,0,,,0.0,0
1009,car,1,79,70.5954458974557,0.6,1546294608.0,12,1,1546294963.0,0,,,0.0,0
101,car,1,70,56.05062402352567,0.6,1546293700.0,4,12,1546293967.0,0,,,0.0,0
1010,car,1,73,60.89695272864729,0.9,1546294609.0,12,1,1546294970.0,0,,,0.0,0
1011,car,0,76,54.56903208099349,0.4,1546294610.0,12,1,1546294976.0,0,,,0.0,0
1012,car,0,80,38.115512044297716,0.3,1546294611.0,12,1,1546294981.0,0,,,0.0,0
1013,car,1,72,59.53040560929773,0.8,1546294612.0,12,1,1546294986.0,0,,,0.0,0
1014,car,1,70,70.12471319674279,0.7,1546294613.0,12,1,1546294991.0,0,,,0.0,0
1015,car,1,71,50.780804462261884,0.8,1546294614.0,12,1,1546294994.0,0,,,0.0,0
1016,car,0,70,52.65751403583697,0.4,1546294615.0,12,1,1546294998.0,0,,,0.0,0
1017,car,1,76,64.79787337067634,0.7,1546294616.0,12,1,1546295001.0,0,,,0.0,0
1018,bus,0,49,50.74815799068543,0.4,1546294617.0,12,1,1546295003.0,0,,,0.0,0
1019,bus,1,47,52.03727930485246,0.6,1546294618.0,12,1,1546295005.0,0,,,0.0,0
102,car,1,76,70.00709070107413,1.0,1546293701.0,4,12,1546293969.0,0,,,0.0,0
1020,bus,0,42,44.288928788934925,0.4,1546294619.0,12,1,1546295007.0,0,,,0.0,0
1021,bus,0,55,61.734764091468904,0.3,1546294620.0,12,1,1546295008.0,0,,,0.0,0
1022,bus,1,50,53.38133893575527,0.9,1546294621.0,12,1,1546295009.0,0,,,0.0,0
1023,bus,1,46,48.045752895335816,0.9,1546294622.0,12,1,1546295010.0,0,,,0.0,0
1024,car,1,77,48.38445559327238,1.0,1546294623.0,1,12,1546294869.0,0,,,0.0,0
1025,car,1,80,42.403961482319644,0.7,1546294624.0,1,12,1546294871.0,0,,,0.0,0
1026,car,0,79,54.906440895126266,0.1,1546294625.0,1,12,1546294873.0,0,,,0.0,0
1027,car,0,72,42.73588851968792,0.3,1546294626.0,1,12,1546294875.0,0,,,0.0,0
1028,car,1,73,59.502921449773844,0.9,1546294627.0,1,12,1546294877.0,0,,,0.0,0
1029,car,0,79,52.62966161173194,0.3,1546294628.0,1,12,1546294879.0,0,,,0.0,0
103,car,0,75,56.640033235655146,0.1,1546293702.0,4,12,1546293970.0,0,,,0.0,0
1030,car,0,79,56.56755879289565,0.2,1546294629.0,1,12,1546294881.0,0,,,0.0,0
1031,car,0,80,56.14398930356422,0.2,1546294630.0,1,12,1546294882.0,0,,,0.0,0
1032,car,0,75,49.50197288445753,0.0,1546294631.0,1,12,1546294883.0,0,,,0.0,0
1033,bus,1,44,36.259823608394264,0.6,1546294632.0,1,12,1546294885.0,0,,,0.0,0
1034,bus,0,41,54.86551464340229,0.4,1546294633.0,1,12,1546294885.0,0,,,0.0,0
1035,bus,0,41,58.85916046923202,0.0,1546294634.0,1,12,1546294885.0,0,,,0.0,0
1036,bus,1,54,31.155030851003765,0.8,1546294635.0,1,12,1546294884.0,0,,,0.0,0
1037,bus,1,52,47.683635278732176,0.6,1546294636.0,1,12,1546294884.0,0,,,0.0,0
1038,bus,0,54,65.08082768316136,0.0,1546294637.0,1,12,1546294884.0,0,,,0.0,0
1039,car,0,73,48.41337918619494,0.0,1546294638.0,12,2,1546295292.0,0,,,0.0,0
104,car,1,77,56.7521165432442,1.0,1546293703.0,4,12,1546293972.0,0,,,0.0,0
1040,car,0,78,47.185964950899745,0.2,1546294639.0,12,2,1546295292.0,0,,,0.0,0
1041,car,1,76,55.11588047533111,0.7,1546294640.0,12,2,1546294955.0,1,,,0.0,0
1042,car,1,77,47.41882280607289,0.6,1546294641.0,12,2,1546295293.0,0,,,0.0,0
1043,car,0,71,49.513170340444816,0.2,1546294642.0,12,2,1546295293.0,0,,,0.0,0
1044,car,0,75,41.23097752558078,0.4,1546294643.0,12,2,1546295292.0,0,,,0.0,0
1045,car,1,72,42.095364791362485,1.0,1546294644.0,12,2,1546295292.0,0,,,0.0,0
1046,car,0,80,57.9150604676986,0.3,1546294645.0,12,2,1546294962.0,1,,,0.0,0
1047,car,0,74,63.806218859764805,0.3,1546294646.0,12,2,1546294962.0,1,,,0.0,0
1048,car,1,74,61.494272210278424,0.8,1546294647.0,12,2,1546294964.0,1,,,0.0,0
1049,car,1,73,51.64216751777125,0.6,1546294648.0,12,2,1546294964.0,1,,,0.0,0
105,car,1,77,33.124313652788935,1.0,1546293704.0,4,12,1546293973.0,0,,,0.0,0
1050,car,1,72,52.072280617162306,0.8,1546294649.0,12,2,1546294965.0,1,,,0.0,0
1051,car,1,76,50.3075525937964,0.9,1546294650.0,12,2,1546294966.0,1,,,0.0,0
1052,car,1,79,53.47140261942894,1.0,1546294651.0,12,2,1546294967.0,1,,,0.0,0
1053,car,1,75,49.16814948852189,0.9,1546294652.0,12,2,1546295294.0,0,,,0.0,0
1054,car,0,80,45.77259678472686,0.2,1546294653.0,12,2,1546295294.0,0,,,0.0,0
1055,car,1,77,45.535310959916686,0.7,1546294654.0,12,2,1546295294.0,0,,,0.0,0
1056,car,0,71,69.53951485122333,0.0,1546294655.0,12,2,1546294971.0,1,,,0.0,0
1057,bus,0,60,47.0864994305375,0.4,1546294656.0,12,2,1546295288.0,0,,,0.0,0
1058,bus,1,42,38.46548442599768,0.6,1546294657.0,12,2,1546295288.0,0,,,0.0,0
1059,bus,0,40,61.94192137574818,0.4,1546294658.0,12,2,1546294972.0,1,,,0.0,0
106,car,1,72,29.55084023886495,0.9,1546293705.0,4,12,1546293974.0,0,,,0.0,0
1060,bus,1,55,49.36177285327683,0.8,1546294659.0,12,2,1546295285.0,0,,,0.0,0
1061,bus,0,45,48.87419334847681,0.2,1546294660.0,12,2,1546295290.0,0,,,0.0,0
1062,bus,0,58,47.71759214780763,0.3,1546294661.0,12,2,1546295287.0,0,,,0.0,0
1063,car,0,77,47.61166804980364,0.5,1546294662.0,2,12,1546295195.0,0,,,0.0,0
1064,car,0,79,40.47634856002075,0.3,1546294663.0,2,12,1546295149.0,0,,,0.0,0
1065,car,1,71,42.83503352711928,1.0,1546294664.0,2,12,1546295196.0,0,,,0.0,0
1066,car,0,71,29.21878487187033,0.3,1546294665.0,2,12,1546295150.0,0,,,0.0,0
1067,car,0,70,57.62647347851265,0.4,1546294666.0,2,12,1546295057.0,1,,,0.0,0
1068,car,1,75,58.72163297831921,0.7,1546294667.0,2,12,1546294989.0,1,,,0.0,0
1069,car,0,80,50.899436645387986,0.2,1546294668.0,2,12,1546295057.0,1,,,0.0,0
107,car,1,75,48.440972519616935,0.9,1546293706.0,4,12,1546293975.0,0,,,0.0,0
1070,car,0,72,49.18921784415457,0.0,1546294669.0,2,12,1546295153.0,0,,,0.0,0
1071,car,1,70,55.241780818230936,0.9,1546294670.0,2,12,1546295057.0,1,,,0.0,0
1072,car,0,70,42.37186697208408,0.0,1546294671.0,2,12,1546295153.0,0,,,0.0,0
1073,car,0,73,49.12529936523032,0.4,1546294672.0,2,12,1546295198.0,0,,,0.0,0
1074,car,0,75,59.91208152390248,0.0,1546294673.0,2,12,1546294991.0,1,,,0.0,0
