time_slot,vehicle_type,Origin,Destination,volume
7.05-7.09,car,12,1,3
7.05-7.09,car,1,12,3
7.05-7.09,car,12,2,6
7.05-7.09,car,2,12,6
7.05-7.09,car,12,4,4
7.05-7.09,car,4,12,4
7.05-7.09,car,12,5,3
7.05-7.09,car,5,12,3
7.05-7.09,car,12,18,7
7.05-7.09,car,18,12,7
7.05-7.09,car,13,1,7
7.05-7.09,car,1,13,7
7.05-7.09,car,13,2,5
7.05-7.09,car,2,13,5
7.05-7.09,car,13,4,5
7.05-7.09,car,4,13,5
7.05-7.09,car,13,5,7
7.05-7.09,car,5,13,7
7.05-7.09,car,13,18,4
7.05-7.09,car,18,13,4
7.05-7.09,car,24,1,4
7.05-7.09,car,1,24,4
7.05-7.09,car,24,2,8
7.05-7.09,car,2,24,8
7.05-7.09,car,24,4,6
7.05-7.09,car,4,24,6
7.05-7.09,car,24,5,6
7.05-7.09,car,5,24,6
7.05-7.09,car,24,18,6
7.05-7.09,car,18,24,6
7.05-7.09,car,21,1,4
7.05-7.09,car,1,21,4
7.05-7.09,car,21,2,8
7.05-7.09,car,2,21,8
7.05-7.09,car,21,4,8
7.05-7.09,car,4,21,8
7.05-7.09,car,21,5,7
7.05-7.09,car,5,21,7
7.05-7.09,car,21,18,4
7.05-7.09,car,18,21,4
7.05-7.09,car,20,1,6
7.05-7.09,car,1,20,6
7.05-7.09,car,20,2,8
7.05-7.09,car,2,20,8
7.05-7.09,car,20,4,6
7.05-7.09,car,4,20,6
7.05-7.09,car,20,5,4
7.05-7.09,car,5,20,4
7.05-7.09,car,20,18,5
7.05-7.09,car,18,20,5
7.05-7.09,bus,12,1,2
7.05-7.09,bus,1,12,2
7.05-7.09,bus,12,2,2
7.05-7.09,bus,2,12,2
7.05-7.09,bus,12,4,2
7.05-7.09,bus,4,12,2
7.05-7.09,bus,12,5,1
7.05-7.09,bus,5,12,1
7.05-7.09,bus,12,18,1
7.05-7.09,bus,18,12,1
7.05-7.09,bus,13,1,1
7.05-7.09,bus,1,13,1
7.05-7.09,bus,13,2,1
7.05-7.09,bus,2,13,1
7.05-7.09,bus,13,4,1
7.05-7.09,bus,4,13,1
7.05-7.09,bus,13,5,2
7.05-7.09,bus,5,13,2
7.05-7.09,bus,13,18,1
7.05-7.09,bus,18,13,1
7.05-7.09,bus,24,1,1
7.05-7.09,bus,1,24,1
7.05-7.09,bus,24,2,2
7.05-7.09,bus,2,24,2
7.05-7.09,bus,24,4,1
7.05-7.09,bus,4,24,1
7.05-7.09,bus,24,5,1
7.05-7.09,bus,5,24,1
7.05-7.09,bus,24,18,1
7.05-7.09,bus,18,24,1
7.05-7.09,bus,21,1,2
7.05-7.09,bus,1,21,2
7.05-7.09,bus,21,2,2
7.05-7.09,bus,2,21,2
7.05-7.09,bus,21,4,2
7.05-7.09,bus,4,21,2
7.05-7.09,bus,21,5,2
7.05-7.09,bus,5,21,2
7.05-7.09,bus,21,18,2
7.05-7.09,bus,18,21,2
7.05-7.09,bus,20,1,2
7.05-7.09,bus,1,20,2
7.05-7.09,bus,20,2,1
7.05-7.09,bus,2,20,1
7.05-7.09,bus,20,4,2
7.05-7.09,bus,4,20,2
7.05-7.09,bus,20,5,2
7.05-7.09,bus,5,20,2
7.05-7.09,bus,20,18,2
7.05-7.09,bus,18,20,2
